TimeStep,Iteration,Time,T_Node_0,T_Node_1,T_Node_2,T_Node_3,T_Node_4,T_Node_5,T_Node_6,T_Node_7,T_Node_8,T_Node_9,T_Node_10,T_Node_11,T_Node_12,T_Node_13,T_Node_14,T_Node_15,T_Node_16,T_Node_17,T_Node_18,T_Node_19
7352,0,385.0347428571428,324.93283104586226,324.79888064551227,324.66614250793214,324.53543471589114,324.40756361936195,324.28331882532564,324.16346827147,324.0487534158866,323.9398845746106,323.8375364383262,323.74234379878914,323.65489751447114,323.5757407436296,323.5053654714369,323.4442093559818,323.39265291589203,323.35101708003344,323.3195611172378,323.29848096132275,323.2879079438166
7353,0,385.0871142857143,324.9328826931961,324.7990353100065,324.6663992786399,324.53579205281073,324.4080193617232,324.283870203763,324.1641119240355,324.04948540783255,323.94070042184256,323.83843113440366,323.74331184532093,323.6559329547301,323.5768371991845,323.5065161815759,323.4454072196794,323.3938905360508,323.3522868097125,323.3208551075636,323.2997912107635,323.28922634848965
7354,0,385.1394857142857,324.93293430090796,324.79918985581605,324.6666558522667,324.53614911540166,324.40847475413443,324.2844211587244,324.1647550821522,324.05021683735345,323.9415156420964,323.83932514277905,323.7442791476393,323.6569675988347,323.57793281154426,323.50766600667856,323.446604161966,323.3951272041231,323.3535555625251,323.3221481022973,323.3011004520611,323.29054373872384
7355,0,385.19185714285715,324.93298586902796,324.79934428303164,324.666912228963,324.5365059038737,324.4089297968635,324.2849716905339,324.1653977461987,324.0509477048802,323.9423302358525,323.84021846397957,323.745245706315,323.6580014473957,323.57902758135594,323.5088149474243,323.44780018354913,323.3963629208401,323.35482333922147,323.3234401022037,323.3024086859901,323.2918601152985
7356,0,385.24422857142855,324.9330373975865,324.7994985917438,324.6671684088794,324.53686241843656,324.4093844901779,324.28552179951544,324.1660399165533,324.0516780108432,323.94314420359103,323.84111109853205,323.7462115219183,323.65903450102337,323.58012150926606,323.50996300449185,323.4489952851357,323.3975976869323,323.3560901405513,323.3247311080468,323.30371591332425,323.29317547899234
7357,0,385.29659999999996,324.93308888661363,324.79965278204315,324.6674243921663,324.5372186592997,324.4098388343449,324.2860714859927,324.1666815935939,324.0524077556728,323.94395754579176,323.8420030469629,323.74717659501914,323.66006676032765,323.58121459592076,323.5111101785596,323.450189467432,323.3988315031297,323.35735596726374,323.3260211205903,323.3050221348369,323.29448983058353
7358,0,385.3489714285714,324.9331403361396,324.7998068540201,324.6676801789741,324.5375746266724,324.4102928296316,324.28662075028893,324.1673227776985,324.0531369397986,323.944770262934,323.84289430979806,323.7481409261868,323.66109822591784,323.58230684196553,323.51225647030526,323.45138273114384,323.4000643701618,323.3586208201073,323.3273101405972,323.30632735130064,323.2958031708495
7359,0,385.4013428571428,324.93319174619467,324.79996080776516,324.66793576945287,324.53793032076373,324.410746476305,324.2871695927273,324.1679634692442,324.05386556365045,323.9455823554968,323.8437848875632,323.7491045159903,323.6621288984028,323.58339824804546,323.51340188040615,323.4525750769765,323.4012962887574,323.35988469983005,323.3285981688298,323.3076315634876,323.2971155005673
7360,0,385.4537142857143,324.93324311680885,324.8001146433686,324.6681911637528,324.5382857417829,324.41119977463177,324.2877180136308,324.1686036686085,324.05459362765725,323.94639382395883,323.8446747807834,323.75006736499836,323.66315877839094,323.58448881480507,323.51454640953887,323.4537665056346,323.40252725964496,323.36114760717925,323.32988520605,323.3089347721692,323.2984268205132
7361,0,385.5060857142857,324.9332944480123,324.80026836092065,324.6684463620238,324.53864088993856,324.4116527248784,324.28826601332196,324.1692433761682,324.055321132248,323.94720466879824,323.84556398998353,323.75102947377894,323.6641878664903,323.58557854288847,323.5156900583798,323.45495701782244,323.40375728355207,323.3624095429018,323.331171253019,323.3102369781165,323.29973713146296
