# Solver: GS
# RadialSteps: 20
# AngularSteps: 50
# DeltaR: 2.450000000000e-03
# DeltaTheta: 1.256637061436e-01
# Tolerance: 1.000000000000e-10
# MaximumIterations: 250000
# Iterations: 201728
# Converged: True
# ResidualNorm: 1.443336748173e-05
# UnifiedIndex	RadialIndex	AngularIndex	Radius	Theta	X	Y	Temperature
192	3	42	8.350000000000e-03	5.277875658031e+00	4.474153738075e-03	-7.050138177942e-03	5.023138127049e+01
193	3	43	8.350000000000e-03	5.403539364174e+00	5.322490314402e-03	-6.433785577178e-03	5.024707829779e+01
194	3	44	8.350000000000e-03	5.529203070318e+00	6.086888038969e-03	-5.715968334505e-03	5.026559481280e+01
195	3	45	8.350000000000e-03	5.654866776462e+00	6.755291903031e-03	-4.908006856642e-03	5.028674251014e+01
196	3	46	8.350000000000e-03	5.780530482605e+00	7.317160778366e-03	-4.022643178749e-03	5.031029156475e+01
197	3	47	8.350000000000e-03	5.906194188749e+00	7.763633657167e-03	-3.073840014917e-03	5.033596757371e+01
198	3	48	8.350000000000e-03	6.031857894892e+00	8.087669395424e-03	-2.076560557827e-03	5.036344934710e+01
199	3	49	8.350000000000e-03	6.157521601036e+00	8.284157755976e-03	-1.046532500262e-03	5.039236809494e+01
200	4	0	1.080000000000e-02	0.000000000000e+00	1.080000000000e-02	0.000000000000e+00	5.041632083615e+01
201	4	1	1.080000000000e-02	1.256637061436e-01	1.071483877420e-02	1.353598922494e-03	5.045592589666e+01
202	4	2	1.080000000000e-02	2.513274122872e-01	1.046069814019e-02	2.685850781380e-03	5.049583133502e+01
203	4	3	1.080000000000e-02	3.769911184308e-01	1.004158604759e-02	3.975745168995e-03	5.053533698515e+01
204	4	4	1.080000000000e-02	5.026548245744e-01	9.464112144474e-03	5.202939680299e-03	5.057370828405e+01
205	4	5	1.080000000000e-02	6.283185307180e-01	8.737383539249e-03	6.348080724759e-03	5.061019668096e+01
206	4	6	1.080000000000e-02	7.539822368616e-01	7.872861176151e-03	7.393108744030e-03	5.064406216705e+01
207	4	7	1.080000000000e-02	8.796459430051e-01	6.884179089286e-03	8.321543021979e-03	5.067459645145e+01
208	4	8	1.080000000000e-02	1.005309649149e+00	5.786929385773e-03	9.118741595422e-03	5.070114544977e+01
209	4	9	1.080000000000e-02	1.130973355292e+00	4.598416348903e-03	9.772132166633e-03	5.072313000096e+01
210	4	10	1.080000000000e-02	1.256637061436e+00	3.337383539249e-03	1.027141037599e-02	5.074006400378e+01
211	4	11	1.080000000000e-02	1.382300767580e+00	2.023718197526e-03	1.060870230787e-02	5.075156941122e+01
212	4	12	1.080000000000e-02	1.507964473723e+00	6.781376109166e-04	1.077868866703e-02	5.075738771786e+01
213	4	13	1.080000000000e-02	1.633628179867e+00	-6.781376109166e-04	1.077868866703e-02	5.075738771796e+01
214	4	14	1.080000000000e-02	1.759291886010e+00	-2.023718197526e-03	1.060870230787e-02	5.075156941153e+01
215	4	15	1.080000000000e-02	1.884955592154e+00	-3.337383539249e-03	1.027141037599e-02	5.074006400429e+01
216	4	16	1.080000000000e-02	2.010619298297e+00	-4.598416348903e-03	9.772132166633e-03	5.072313000167e+01
217	4	17	1.080000000000e-02	2.136283004441e+00	-5.786929385773e-03	9.118741595422e-03	5.070114545068e+01
218	4	18	1.080000000000e-02	2.261946710585e+00	-6.884179089286e-03	8.321543021979e-03	5.067459645257e+01
219	4	19	1.080000000000e-02	2.387610416728e+00	-7.872861176151e-03	7.393108744030e-03	5.064406216837e+01
220	4	20	1.080000000000e-02	2.513274122872e+00	-8.737383539249e-03	6.348080724759e-03	5.061019668248e+01
221	4	21	1.080000000000e-02	2.638937829015e+00	-9.464112144474e-03	5.202939680299e-03	5.057370828578e+01
222	4	22	1.080000000000e-02	2.764601535159e+00	-1.004158604759e-02	3.975745168995e-03	5.053533698708e+01
223	4	23	1.080000000000e-02	2.890265241303e+00	-1.046069814019e-02	2.685850781380e-03	5.049583133715e+01
224	4	24	1.080000000000e-02	3.015928947446e+00	-1.071483877420e-02	1.353598922494e-03	5.045592589898e+01
225	4	25	1.080000000000e-02	3.141592653590e+00	-1.080000000000e-02	-3.473544923302e-18	5.041632083868e+01
226	4	26	1.080000000000e-02	3.267256359733e+00	-1.071483877420e-02	-1.353598922494e-03	5.037766504491e+01
227	4	27	1.080000000000e-02	3.392920065877e+00	-1.046069814019e-02	-2.685850781380e-03	5.034054384941e+01
228	4	28	1.080000000000e-02	3.518583772021e+00	-1.004158604759e-02	-3.975745168995e-03	5.030547184214e+01
229	4	29	1.080000000000e-02	3.644247478164e+00	-9.464112144474e-03	-5.202939680299e-03	5.027289059430e+01
230	4	30	1.080000000000e-02	3.769911184308e+00	-8.737383539249e-03	-6.348080724759e-03	5.024317051917e+01
